City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Quijingue,BR,-10.7525,-39.2092,70.81,97,97,4.94,overcast clouds
1,High Level,CA,58.5169,-117.136,17.71,73,100,10.36,light snow
2,Vaini,TO,-21.2,-175.2,84.36,84,75,6.91,broken clouds
3,Atuona,PF,-9.8,-139.0333,79.65,78,8,17.07,clear sky
4,Kosamba,IN,21.4833,72.95,78.71,74,0,5.44,clear sky
5,Tasiilaq,GL,65.6145,-37.6368,33.19,97,100,9.44,light snow
6,Gamba,GA,-2.65,10.0,77.31,92,100,3.89,overcast clouds
7,Busselton,AU,-33.65,115.3333,59.31,66,67,3.0,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,60.22,92,81,4.72,broken clouds
9,Olinda,BR,-8.0089,-34.8553,83.93,65,20,9.22,few clouds
10,Saldanha,ZA,-33.0117,17.9442,58.96,80,34,9.4,scattered clouds
11,Clyde River,CA,70.4692,-68.5914,-14.57,76,75,3.44,broken clouds
12,Cabo San Lucas,MX,22.8909,-109.9124,88.9,39,49,5.01,scattered clouds
13,Lengshuijiang,CN,27.6881,111.4294,53.29,87,100,1.99,moderate rain
14,Havelock,US,34.8791,-76.9013,60.78,65,100,16.11,overcast clouds
15,Pombal,BR,-6.7703,-37.8017,77.5,76,93,7.27,moderate rain
16,Yulara,AU,-25.2406,130.9889,71.44,33,75,6.91,broken clouds
17,Albany,US,42.6001,-73.9662,42.64,58,59,5.01,broken clouds
18,Padang,ID,-0.9492,100.3543,75.25,88,94,3.67,moderate rain
19,Zasheyek,RU,67.4066,32.5499,33.64,99,95,2.04,overcast clouds
20,Ambilobe,MG,-13.2,49.05,71.35,91,40,3.33,scattered clouds
21,Cape Town,ZA,-33.9258,18.4232,63.01,79,0,21.85,clear sky
22,Isangel,VU,-19.55,169.2667,82.8,71,100,1.86,moderate rain
23,Ancud,CL,-41.8697,-73.8203,55.22,86,100,5.77,overcast clouds
24,Atbasar,KZ,51.8,68.3333,47.7,62,100,11.39,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,78.55,63,3,11.43,clear sky
26,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,48,0,4.61,clear sky
27,Mataura,NZ,-46.1927,168.8643,60.48,52,3,2.8,clear sky
28,Nanortalik,GL,60.1432,-45.2371,29.43,89,40,9.55,scattered clouds
29,Severo-Kurilsk,RU,50.6789,156.125,32.11,78,91,5.5,overcast clouds
30,Pisco,PE,-13.7,-76.2167,65.01,82,0,14.97,clear sky
31,Pecos,US,31.4229,-103.4932,90.43,4,0,0.0,clear sky
32,Manoel Urbano,BR,-8.8389,-69.2597,72.54,98,47,2.46,scattered clouds
33,Moissala,TD,8.3404,17.7663,78.87,66,98,4.76,overcast clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,73.47,67,1,11.07,clear sky
35,Yellowknife,CA,62.456,-114.3525,19.92,53,20,9.22,few clouds
36,Saint-Pierre,RE,-21.3393,55.4781,73.29,86,100,3.44,overcast clouds
37,Dunedin,NZ,-45.8742,170.5036,60.8,63,0,8.99,clear sky
38,Buala,SB,-8.145,159.5921,83.75,74,85,9.22,moderate rain
39,Nevelsk,RU,46.6733,141.8633,39.24,66,56,3.06,broken clouds
40,Atambua,ID,-9.1061,124.8925,78.85,77,88,2.35,overcast clouds
41,Bluff,NZ,-46.6,168.3333,60.8,67,11,5.39,few clouds
42,Curup,ID,-3.4667,102.5333,70.09,97,95,1.45,overcast clouds
43,Sabang,ID,5.8933,95.3214,83.08,71,89,6.29,overcast clouds
44,Ushuaia,AR,-54.8,-68.3,46.06,93,100,14.97,moderate rain
45,Carnarvon,AU,-24.8667,113.6333,66.27,82,94,12.66,overcast clouds
46,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,93,9.37,light rain
47,Sapouy,BF,11.5544,-1.7736,87.37,16,93,4.94,overcast clouds
48,Airai,TL,-8.9266,125.4092,68.5,71,70,1.9,broken clouds
49,Fairbanks,US,64.8378,-147.7164,41.0,25,0,5.75,clear sky
50,Lorengau,PG,-2.0226,147.2712,83.37,78,56,7.09,broken clouds
51,Helong,CN,42.5397,128.9972,46.38,40,100,5.53,overcast clouds
52,Osmanabad,IN,18.1667,76.05,81.21,46,49,13.87,scattered clouds
53,Shitanjing,CN,39.2342,106.3439,41.11,46,1,5.14,clear sky
54,Yaan,NG,7.3833,8.5667,80.76,74,100,8.1,light rain
55,Tres Picos,MX,15.8667,-93.5333,84.54,70,82,4.88,broken clouds
56,Griffith,US,41.5284,-87.4237,41.22,73,40,13.8,scattered clouds
57,Mezen,RU,65.8522,44.24,31.78,98,100,8.93,light snow
58,Poshekhonye,RU,58.4993,39.1353,27.18,92,70,0.83,broken clouds
59,Chuy,UY,-33.6971,-53.4616,62.26,78,100,6.87,overcast clouds
60,Qaanaaq,GL,77.484,-69.3632,-18.72,77,2,4.61,clear sky
61,Kapaa,US,22.0752,-159.319,80.58,83,75,19.57,broken clouds
62,Mae Hong Son,TH,19.3003,97.9685,75.34,94,42,0.0,mist
63,Thompson,CA,55.7435,-97.8558,32.16,29,75,0.0,broken clouds
64,Hilo,US,19.7297,-155.09,77.29,88,100,4.0,haze
65,Sisimiut,GL,66.9395,-53.6735,18.81,79,100,5.03,overcast clouds
66,Port Elizabeth,ZA,-33.918,25.5701,64.31,99,75,9.22,heavy intensity rain
67,Henties Bay,NA,-22.116,14.2845,61.7,78,6,5.01,clear sky
68,Dikson,RU,73.5069,80.5464,-6.02,100,95,2.89,overcast clouds
69,San Patricio,US,28.017,-97.5169,84.92,65,38,13.49,scattered clouds
70,Plast,RU,54.3691,60.8136,41.45,65,100,6.15,overcast clouds
71,Grand Gaube,MU,-20.0064,57.6608,79.2,91,11,3.0,few clouds
72,Saint George,US,37.1041,-113.5841,85.62,10,0,11.5,clear sky
73,Ostrovnoy,RU,68.0531,39.5131,33.28,91,100,9.55,overcast clouds
74,Nelson Bay,AU,-32.7167,152.15,74.08,73,22,4.47,few clouds
75,Khatanga,RU,71.9667,102.5,6.3,95,98,13.18,overcast clouds
76,Egvekinot,RU,66.3167,-179.1667,25.41,95,100,12.64,snow
77,Maniitsoq,GL,65.4167,-52.9,23.11,84,100,1.43,overcast clouds
78,Bonfim,BR,3.0833,-59.95,85.66,50,80,8.57,broken clouds
79,Georgetown,MY,5.4112,100.3354,82.33,94,20,2.3,few clouds
80,Maceio,BR,-9.6658,-35.7353,78.24,88,20,4.61,few clouds
81,Kununurra,AU,-15.7667,128.7333,85.98,74,15,5.75,few clouds
82,Punta Arenas,CL,-53.15,-70.9167,46.11,93,75,8.05,broken clouds
83,Nikolskoye,RU,59.7035,30.7861,39.7,74,100,3.27,overcast clouds
84,East London,ZA,-33.0153,27.9116,64.62,82,58,9.69,broken clouds
85,Ginda,IN,30.6945,78.4932,57.36,30,70,8.01,broken clouds
86,Port Blair,IN,11.6667,92.75,80.8,76,90,2.3,overcast clouds
87,Kovur,IN,14.4833,79.9833,79.68,84,37,3.83,scattered clouds
88,Myitkyina,MM,25.3833,97.4,67.14,94,73,3.6,broken clouds
89,Yinchuan,CN,38.4681,106.2731,46.99,37,3,1.9,clear sky
90,Batagay-Alyta,RU,67.8006,130.4114,4.41,91,100,3.0,overcast clouds
91,Naliya,IN,23.2667,68.8333,77.68,84,39,8.03,scattered clouds
92,Nemuro,JP,43.3236,145.575,42.19,83,30,12.3,scattered clouds
93,Plettenberg Bay,ZA,-34.0527,23.3716,59.36,77,32,3.4,scattered clouds
94,Kikwit,CD,-5.041,18.8162,71.22,95,91,2.21,overcast clouds
95,Muros,ES,42.7762,-9.0603,57.83,78,37,12.71,scattered clouds
96,Faanui,PF,-16.4833,-151.75,80.96,72,44,9.22,light rain
97,New Norfolk,AU,-42.7826,147.0587,55.92,55,100,1.99,overcast clouds
98,Hobart,AU,-42.8794,147.3294,60.03,85,75,1.01,broken clouds
99,Mayo,US,38.8876,-76.5119,52.12,43,0,10.0,clear sky
100,Rensvik,NO,63.1,7.8167,48.47,53,75,3.44,broken clouds
101,Poum,NC,-20.2333,164.0167,76.19,74,98,2.08,overcast clouds
102,Aklavik,CA,68.2191,-135.0107,21.07,77,95,13.44,overcast clouds
103,Provideniya,RU,64.3833,-173.3,32.36,93,100,25.01,snow
104,Seoul,KR,37.5683,126.9778,56.77,44,100,5.75,overcast clouds
105,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.94,76,1,10.89,clear sky
106,Bilibino,RU,68.0546,166.4372,22.14,83,98,0.92,overcast clouds
107,Verkhoyansk,RU,67.5447,133.385,14.9,81,53,2.73,broken clouds
108,Laguna,US,38.421,-121.4238,75.31,25,0,10.36,clear sky
109,Saskylakh,RU,71.9167,114.0833,28.24,97,100,11.79,light snow
110,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,58,100,9.22,overcast clouds
111,Chara,RU,56.9064,118.2631,34.03,96,100,3.87,overcast clouds
112,Kodiak,US,57.79,-152.4072,40.51,70,100,11.5,overcast clouds
113,Torbay,CA,47.6666,-52.7314,54.37,94,100,24.16,overcast clouds
114,Bud,US,39.447,-86.1758,48.88,48,100,11.05,overcast clouds
115,Christchurch,NZ,-43.5333,172.6333,62.42,62,40,21.85,scattered clouds
116,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,12.66,broken clouds
117,Drakino,RU,51.139,39.4021,46.99,94,100,7.92,overcast clouds
118,Mount Gambier,AU,-37.8333,140.7667,58.96,82,100,7.81,overcast clouds
119,Naze,JP,28.3667,129.4833,70.72,58,44,6.73,scattered clouds
120,Qui Nhon,VN,13.7667,109.2333,75.56,86,72,7.38,broken clouds
121,Prince Rupert,CA,54.3161,-130.3201,50.09,43,0,8.05,clear sky
122,Sovetskiy,RU,61.3614,63.5842,22.01,91,15,4.76,few clouds
123,Beringovskiy,RU,63.05,179.3167,31.28,99,100,8.93,light snow
124,Rio Branco,BR,-9.9747,-67.81,75.81,94,0,2.3,clear sky
125,Codrington,AU,-38.2667,141.9667,60.06,80,100,11.77,light rain
126,Hualmay,PE,-11.0964,-77.6139,66.67,83,14,11.34,few clouds
127,Coquimbo,CL,-29.9533,-71.3436,59.23,82,9,1.81,clear sky
128,Bengkulu,ID,-3.8004,102.2655,76.6,91,93,4.27,overcast clouds
129,Rayevskiy,RU,54.0658,54.9468,44.01,69,99,5.73,light rain
130,Ushtobe,KZ,45.2514,77.9838,59.97,23,67,7.09,broken clouds
131,Nouadhibou,MR,20.931,-17.0347,66.18,94,40,8.05,scattered clouds
132,Constitucion,CL,-35.3333,-72.4167,51.66,93,58,6.67,broken clouds
133,Kamenka,RU,51.3223,42.7678,48.52,88,100,7.23,overcast clouds
134,Mackay,AU,-21.15,149.2,79.68,65,5,13.98,clear sky
135,Mar Del Plata,AR,-38.0023,-57.5575,64.09,90,0,11.99,clear sky
136,Mangochi,MW,-14.4782,35.2645,69.82,94,19,7.2,few clouds
137,Palm Coast,US,29.585,-81.2078,75.29,94,91,13.0,moderate rain
138,Upernavik,GL,72.7868,-56.1549,-2.56,89,100,13.13,overcast clouds
139,San Vicente,AR,-26.6167,-54.1333,55.67,85,5,1.99,clear sky
140,Mangrol,IN,21.1167,70.1167,78.57,72,1,8.55,clear sky
141,Ponta Delgada,PT,37.7333,-25.6667,59.72,72,20,12.66,few clouds
142,Batemans Bay,AU,-35.7167,150.1833,68.09,50,90,2.84,overcast clouds
143,Praia,CV,14.9215,-23.5087,70.16,80,9,14.09,clear sky
144,Kurmanayevka,RU,52.5093,52.0675,49.82,85,96,5.66,overcast clouds
145,Saint-Philippe,RE,-21.3585,55.7679,73.22,87,62,9.06,light rain
146,Luderitz,NA,-26.6481,15.1594,67.48,49,0,12.12,clear sky
147,Hermanus,ZA,-34.4187,19.2345,61.81,83,69,12.37,broken clouds
148,Bubaque,GW,11.2833,-15.8333,75.16,76,3,16.91,clear sky
149,Marawi,PH,7.9986,124.2928,73.99,85,90,2.01,overcast clouds
150,Coihaique,CL,-45.5752,-72.0662,50.61,76,75,4.61,broken clouds
151,Hithadhoo,MV,-0.6,73.0833,82.87,74,63,8.59,broken clouds
152,Te Anau,NZ,-45.4167,167.7167,60.53,57,25,3.78,scattered clouds
153,Port Alfred,ZA,-33.5906,26.891,60.19,93,16,1.01,few clouds
154,Bulungu,CD,-4.55,18.6,70.72,94,90,1.63,overcast clouds
155,Pangkalanbuun,ID,-2.6833,111.6167,78.62,82,82,1.74,broken clouds
156,Bajos De Haina,DO,18.4154,-70.0332,75.16,91,96,6.26,overcast clouds
157,Betafo,MG,-19.8333,46.85,58.78,93,23,4.88,few clouds
158,Southbridge,US,42.0751,-72.0334,42.57,58,60,3.0,broken clouds
159,Pevek,RU,69.7008,170.3133,9.52,85,34,1.68,scattered clouds
160,Hami,CN,42.8,93.45,53.91,19,0,6.15,clear sky
161,Kaitangata,NZ,-46.2817,169.8464,57.06,56,2,2.13,clear sky
162,Butaritari,KI,3.0707,172.7902,81.81,73,43,12.62,scattered clouds
163,Acarau,BR,-2.8856,-40.12,78.28,86,90,6.91,overcast clouds
164,Korhogo,CI,9.45,-5.6333,78.75,66,100,4.0,overcast clouds
165,Vardo,NO,70.3705,31.1107,39.76,92,100,11.03,overcast clouds
166,Camopi,GF,3.1655,-52.3158,73.08,99,99,1.25,light rain
167,Vostok,RU,46.4856,135.8833,36.36,55,37,8.79,scattered clouds
168,Oshikango,NA,-17.4,15.8833,69.78,72,55,5.77,broken clouds
169,Torquay,GB,50.4638,-3.5143,48.58,68,36,7.0,scattered clouds
170,Lichinga,MZ,-13.3128,35.2406,66.29,94,75,13.8,broken clouds
171,Yerofey Pavlovich,RU,53.9667,121.9667,32.05,64,100,2.55,overcast clouds
172,Kavaratti,IN,10.5669,72.642,82.96,72,52,3.31,broken clouds
173,College,US,64.8569,-147.8028,40.98,25,0,5.75,clear sky
174,Tshikapa,CD,-6.4167,20.8,71.53,94,44,2.21,scattered clouds
175,Zambezi,ZM,-13.5432,23.1047,63.86,96,99,3.98,overcast clouds
176,Namatanai,PG,-3.6667,152.4333,85.37,66,94,11.32,overcast clouds
177,Mahebourg,MU,-20.4081,57.7,79.09,89,75,1.14,broken clouds
178,Lebu,CL,-37.6167,-73.65,53.33,89,86,8.25,overcast clouds
179,Cutro,IT,39.0353,16.9819,48.65,72,100,18.99,light rain
180,Bozhou,CN,33.8772,115.7703,58.26,60,93,11.23,overcast clouds
181,Cherskiy,RU,68.75,161.3,13.73,82,100,4.18,overcast clouds
182,Fortuna,US,40.5982,-124.1573,58.93,50,0,8.05,clear sky
183,Inhambane,MZ,-23.865,35.3833,72.39,92,96,3.98,light rain
184,Vao,NC,-22.6667,167.4833,76.98,71,32,5.37,scattered clouds
185,Grindavik,IS,63.8424,-22.4338,40.95,75,75,10.36,broken clouds
186,Iqaluit,CA,63.7506,-68.5145,-6.07,71,40,5.75,scattered clouds
187,Kormilovka,RU,55.0026,74.1028,38.03,83,37,6.38,scattered clouds
188,Longonjo,AO,-12.9067,15.2533,63.23,94,99,2.01,overcast clouds
189,Svetlyy,RU,54.675,20.1347,38.97,76,31,5.01,scattered clouds
190,Valparaiso,CL,-33.0393,-71.6273,56.48,79,49,5.48,scattered clouds
191,Vilhena,BR,-12.7406,-60.1458,68.54,95,53,3.27,broken clouds
192,Port Macquarie,AU,-31.4333,152.9167,74.89,68,13,4.09,few clouds
193,Kavieng,PG,-2.5744,150.7967,85.37,66,91,13.98,overcast clouds
194,Lagoa,PT,39.05,-27.9833,56.97,66,63,16.26,broken clouds
195,Akyab,MM,20.15,92.9,80.91,83,58,4.0,broken clouds
196,Ilulissat,GL,69.2167,-51.1,14.02,73,40,5.75,scattered clouds
197,Jamestown,US,42.097,-79.2353,37.04,43,0,6.91,clear sky
198,Castro,BR,-24.7911,-50.0119,52.02,96,8,4.34,clear sky
199,Santa Rosa,PH,14.3122,121.1114,86.09,69,60,13.82,broken clouds
200,Navalmoral De La Mata,ES,39.8916,-5.5406,61.3,59,100,0.81,overcast clouds
201,Avarua,CK,-21.2078,-159.775,82.45,69,100,2.3,overcast clouds
202,Genhe,CN,50.7833,121.5167,38.53,38,100,10.2,overcast clouds
203,Awbari,LY,26.5921,12.7805,63.03,35,41,7.85,scattered clouds
204,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,75,1.14,light rain
205,Lasa,IT,46.6166,10.7002,43.68,74,5,2.48,clear sky
206,Shimoda,JP,34.6667,138.95,59.36,83,100,7.36,overcast clouds
207,Nha Trang,VN,12.25,109.1833,78.8,81,64,5.55,broken clouds
208,Ribeira Grande,PT,38.5167,-28.7,58.1,70,53,19.48,broken clouds
209,Howell,US,42.6073,-83.9294,41.02,50,0,8.05,clear sky
210,Adamovka,RU,51.5223,59.9396,45.9,75,94,6.33,overcast clouds
211,Liverpool,GB,53.4106,-2.9779,53.29,85,75,10.36,broken clouds
212,Puerto Ayacucho,VE,5.6639,-67.6236,76.32,89,39,5.61,scattered clouds
213,Tiksi,RU,71.6872,128.8694,1.62,98,87,4.03,overcast clouds
214,Iracoubo,GF,5.4802,-53.2011,77.25,87,33,10.63,scattered clouds
215,Mizan Teferi,ET,6.9833,35.5833,62.02,96,100,3.31,overcast clouds
216,Sioux Lookout,CA,50.1001,-91.917,24.87,86,100,6.91,mist
217,Pitimbu,BR,-7.4706,-34.8086,79.39,78,60,9.26,broken clouds
218,Kulhudhuffushi,MV,6.6221,73.07,83.48,75,100,7.61,overcast clouds
219,Omsukchan,RU,62.5333,155.8,20.86,80,98,2.06,overcast clouds
220,Srednekolymsk,RU,67.45,153.6833,18.46,85,99,6.69,overcast clouds
221,Qasigiannguit,GL,68.8193,-51.1922,14.25,90,24,6.69,few clouds
222,Hay River,CA,60.8156,-115.7999,15.78,45,20,4.61,few clouds
223,Cayenne,GF,4.9333,-52.3333,81.09,1,0,4.0,clear sky
224,Bang Saphan,TH,11.2126,99.5117,78.82,86,100,1.99,overcast clouds
225,Katangli,RU,51.7102,143.2326,29.34,89,99,6.8,overcast clouds
226,Bethel,US,41.3712,-73.414,44.96,46,20,5.75,few clouds
227,Anadyr,RU,64.75,177.4833,32.5,86,75,24.61,light shower snow
228,Esperance,AU,-33.8667,121.9,58.84,62,71,7.31,broken clouds
